SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,Tanimoto_Similarity
CC=1C=CC=CC1CC(=O)NC=2C=NC=C3C=CC=CC23,Z1530717050,276.333,276.333,3.653,-4.296,1,2,41.99,3,https://real.enamine.net/public-enum-files/Z1530717050,0.2602739726027397
CC1(C)CC(CC(C)(C)N1)NC(=O)N2CCC(CC2)C3=NC4=CC=CC=C4N3,Z446193750,383.531,383.531,3.07,-3.728,3,3,73.05,2,https://real.enamine.net/public-enum-files/Z446193750,0.2602739726027397
COC=1C=CC(=CC1)NCC=2C=NN(C2)C=3C=CC=CC3,Z224418446,279.337,279.337,3.246,-3.027,1,3,39.08,5,https://real.enamine.net/public-enum-files/Z224418446,0.2602739726027397
O=C(NCCC1=NC(=NN1)C=2C=CC=CC2)C=3C=CC(F)=CC3F,Z1695741557,328.317,328.317,2.551,-5.285,2,3,70.67,5,https://real.enamine.net/public-enum-files/Z1695741557,0.2597402597402597
CC=1C=C(C=CC1N2CCN(C)CC2)NC(=O)C=3C=CC(=CC3)C(F)(F)F,Z169750662,377.404,377.404,4.402,-4.547,1,3,35.58,4,https://real.enamine.net/public-enum-files/Z169750662,0.2597402597402597
O=C(CNC(=O)C1=CC=CS1)N2CCCC2C(=O)NC3CC3,Z1222748790,321.396,321.396,0.831,-3.46,2,3,78.51,5,https://real.enamine.net/public-enum-files/Z1222748790,0.2597402597402597
CC1=CSC(C(=O)NC2=NC=3C=CC=CC3N2CCC=4C=CC=CN4)=C1Br,Z1851644710,441.346,441.346,3.722,-5.954,1,3,59.81,5,https://real.enamine.net/public-enum-files/Z1851644710,0.2597402597402597
O=C(CN1C(=O)C=2C=CC=CC2C(F)(F)C1=O)NC=3C=C(F)C=CC3F,Z1641330715,366.267,366.267,3.344,-5.524,1,3,66.48,3,https://real.enamine.net/public-enum-files/Z1641330715,0.2597402597402597
O=C(CC1=NNC(=O)C=2C=CC=CC12)NCC3=CC4=CC=CC=C4NC3=O,Z3397204663,360.367,360.367,-0.599,-5.528,3,4,99.66,4,https://real.enamine.net/public-enum-files/Z3397204663,0.2597402597402597
COC1=CC(=CC(=C1)N2CCC(C2)NC=3C=CC(Cl)=CN3)OC,Z1333188030,333.813,333.813,3.701,-4.081,1,5,46.62,5,https://real.enamine.net/public-enum-files/Z1333188030,0.2597402597402597
