Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Linsitinib","1510","TOV-21G","1240222","OV","urogenital_system","ovary","6.3122119772448757",".98424375093077088","10",".061211436731203314","1.7755788497306393","GDSC2"
"Linsitinib","1510","OVTOKO","1298365","OV","urogenital_system","ovary","3.3153548109383357",".9120776396466741","10",".11696720039988588","-.4909858680773056","GDSC2"
"Linsitinib","1510","TOV-112D","1299070","OV","urogenital_system","ovary","4.2313043542769844",".97680367259098655","10",".047717635056591025",".20175949915763258","GDSC2"
"Linsitinib","1510","DOV13","1479987","OV","urogenital_system","ovary","4.7544153087921606",".984303716232651","10",".07080457664884493",".59739558296345541","GDSC2"
"Linsitinib","1510","Hey","1479988","OV","urogenital_system","ovary","5.2577462122456646",".96854856953214963","10",".077427617067955076",".97807173929696589","GDSC2"
"Linsitinib","1510","JHOS-2","1479995","OV","urogenital_system","ovary","4.2281764786013403",".95011092673125064","10",".10208424218012296",".1993938433206405","GDSC2"
"Linsitinib","1510","JHOS-3","1480358","OV","urogenital_system","ovary","4.4282070915258762",".93817050640963606","10",".048475762064475202",".35067977540762735","GDSC2"
"Linsitinib","1510","JHOS-4","1480359","OV","urogenital_system","ovary","2.7037010900009601",".89221804561752904","10",".19028292935119342","-.95358807647724908","GDSC2"
"Linsitinib","1510","OV-7","1480360","OV","urogenital_system","ovary","4.6235793672220167",".9704344908052549","10",".052763235225891485",".49844254231869589","GDSC2"
"Linsitinib","1510","OV-17R","1480361","OV","urogenital_system","ovary","5.3822551796081859",".97885215851571628","10",".049551891575006037","1.0722396014318158","GDSC2"
"Linsitinib","1510","OV-56","1480362","OV","urogenital_system","ovary","5.1193338046603509",".97544536893280454","10",".083331779951170096",".87338851212589308","GDSC2"
"Linsitinib","1510","OVCA420","1480364","OV","urogenital_system","ovary","6.5967718232365202",".98293682373349789","10",".048260341488446691","1.9907954153651028","GDSC2"
"Linsitinib","1510","OVCA433","1480367","OV","urogenital_system","ovary","5.4712218379325144",".96983713760111057","10",".036449289347282213","1.1395263213617211","GDSC2"
"Linsitinib","1510","OVK-18","1480371","OV","urogenital_system","ovary","4.2248707745409533",".95776747510174298","10",".11172924334186396",".19689369340524704","GDSC2"
"Linsitinib","1510","PEO1","1480372","OV","urogenital_system","ovary","4.4334884001302903",".9422009108161532","10",".077198893915011252",".35467410249174841","GDSC2"
"Linsitinib","1510","UWB1.289","1480374","OV","urogenital_system","ovary","3.902295294754266",".93225291349893002","10",".067979092910798816","-.047074624315935072","GDSC2"
"Epirubicin","1511","OVCAR-3","905933","OV","urogenital_system","ovary","-.51883653523614226",".8310399183938747","10",".048134938936773959",".19729767216029134","GDSC2"
"Epirubicin","1511","SK-OV-3","905959","OV","urogenital_system","ovary",".043910025917418952",".81505581822503803","10",".0818098695051893",".53009840571129208","GDSC2"
"Epirubicin","1511","IGROV-1","905968","OV","urogenital_system","ovary","-1.984694068870098",".66231616003852345","10",".050522899542841088","-.66959072156819699","GDSC2"
"Epirubicin","1511","OVCAR-5","905969","OV","urogenital_system","ovary","1.1764324021690362",".87078191451750697","10",".093075440055440675","1.1998568788805521","GDSC2"
"Epirubicin","1511","OVCAR-4","905990","OV","urogenital_system","ovary","1.9824950739072151",".9520934373725799","10",".034575398314935987","1.676551481674124","GDSC2"
"Epirubicin","1511","OVCAR-8","905991","OV","urogenital_system","ovary","-1.5906032685726159",".73974771431043518","10",".058333332042551457","-.43653073243942475","GDSC2"
"Epirubicin","1511","Caov-3","906825","OV","urogenital_system","ovary","-.85823474215513162",".53530836797791514","10",".090757479826567483","-.0034178541984950413","GDSC2"
"Epirubicin","1511","OC-314","909257","OV","urogenital_system","ovary","-1.7767357922171367",".71457465628112193","10",".087188892519666369","-.54660699888451114","GDSC2"
"Epirubicin","1511","SW626","909753","OV","urogenital_system","ovary","1.2787693052641618",".88190402822148983","10",".097821592205681956","1.2603775444348313","GDSC2"
"Epirubicin","1511","OAW-42","910548","OV","urogenital_system","ovary","1.8782409851413182",".94287362387984708","10",".033594313358665327","1.6148970183472235","GDSC2"
"Epirubicin","1511","EFO-21","911905","OV","urogenital_system","ovary","1.1767347610755932",".84336795463931946","10",".02955553440930184","1.2000356898637619","GDSC2"
"Epirubicin","1511","OAW-28","946360","OV","urogenital_system","ovary","-.58872282659105124",".81562347194347951","10",".062978309406385741",".15596786113417649","GDSC2"
"Epirubicin","1511","Caov-4","949090","OV","urogenital_system","ovary","-.55951993094286379",".79739313118932531","10",".13204652075320833",".1732380601267885","GDSC2"
"Epirubicin","1511","FU-OV-1","1240129","OV","urogenital_system","ovary","1.0246511357038373",".88802354536428962","10",".071509820370546706","1.1100954830661149","GDSC2"
"Epirubicin","1511","OV-90","1240197","OV","urogenital_system","ovary",".095395877975316332",".81959539311723728","10",".050004374800492864",".56054644487343797","GDSC2"
"Epirubicin","1511","OVISE","1240198","OV","urogenital_system","ovary","-.63053780875459386",".79897744958057915","10",".10954583076152367",".13123904411764456","GDSC2"
"Epirubicin","1511","OVKATE","1240199","OV","urogenital_system","ovary","3.265233844481171",".92624654345244983","10",".077531567945412425","2.4351459063583665","GDSC2"
"Epirubicin","1511","OVMIU","1240200","OV","urogenital_system","ovary","-.1204539274952328",".8007156888390019","10",".12270316486952129",".43289577838124887","GDSC2"
"Epirubicin","1511","TOV-21G","1240222","OV","urogenital_system","ovary","-1.2590990936874622",".73592224866434586","10",".13273175858631453","-.24048363025750102","GDSC2"
"Epirubicin","1511","OVTOKO","1298365","OV","urogenital_system","ovary","-.3819832463569825",".80680413246264893","10",".10965080995182533",".27823086317702539","GDSC2"
"Epirubicin","1511","TOV-112D","1299070","OV","urogenital_system","ovary","-2.5286571318622233",".62038476778559359","10",".083794124836139225","-.99128314740432599","GDSC2"
"Epirubicin","1511","DOV13","1479987","OV","urogenital_system","ovary","-2.4261519586776394",".63289557069809765","10",".06725773679385158","-.93066296918649238","GDSC2"
"Epirubicin","1511","Hey","1479988","OV","urogenital_system","ovary","-2.5632343797688759",".59902335493084269","10",".058569242744111308","-1.011731665906012","GDSC2"
"Epirubicin","1511","JHOS-2","1479995","OV","urogenital_system","ovary","-.80225306732392665",".54171071858633579","10",".065111341701983863",".029688953972927423","GDSC2"
"Epirubicin","1511","JHOS-3","1480358","OV","urogenital_system","ovary",".14101691830611729",".64022881036501622","10",".13631219861327834",".5875261134054458","GDSC2"
"Epirubicin","1511","JHOS-4","1480359","OV","urogenital_system","ovary","-.66147623185400373",".56049725717159826","10",".075680150009964503",".11294247757570317","GDSC2"
"Epirubicin","1511","OV-7","1480360","OV","urogenital_system","ovary","-.37051814489805013",".59719362528305453","10",".15403935863355556",".2850111696935998","GDSC2"
"Epirubicin","1511","OV-17R","1480361","OV","urogenital_system","ovary","1.9338490432761068",".83294268120128212","10",".047641953835245388","1.6477828746386747","GDSC2"
"Epirubicin","1511","OV-56","1480362","OV","urogenital_system","ovary",".819203756123144",".90412109180640954","10",".065897515530148568",".98859667107794513","GDSC2"
"Epirubicin","1511","OVCA420","1480364","OV","urogenital_system","ovary","2.8227007133695636",".9605314550750742","10",".061380440187762855","2.1734377755211596","GDSC2"
"Epirubicin","1511","OVCA433","1480367","OV","urogenital_system","ovary","-.99846622094455084",".51744024783200271","10",".084112591063875836","-.086348861208816574","GDSC2"
"Epirubicin","1511","OVK-18","1480371","OV","urogenital_system","ovary","-2.3174801344732727",".36286074851234007","10",".050285147576596044","-.86639591664795235","GDSC2"
"Epirubicin","1511","PEO1","1480372","OV","urogenital_system","ovary",".61430031059787082",".86333273840579439","10",".065119231493964036",".86741953436092434","GDSC2"
"Epirubicin","1511","UWB1.289","1480374","OV","urogenital_system","ovary",".3363258787524494",".66860508119812623","10",".076072451455317255",".70302920092744292","GDSC2"
"Cyclophosphamide","1512","OVCAR-3","905933","OV","urogenital_system","ovary","4.4427929279918432",".96796295304775093","10",".077354645581881751","-.91866345299917596","GDSC2"
"Cyclophosphamide","1512","SK-OV-3","905959","OV","urogenital_system","ovary","6.2914222548072241",".9665483640176209","10",".057489436964941049","1.1614588834207875","GDSC2"
"Cyclophosphamide","1512","IGROV-1","905968","OV","urogenital_system","ovary","5.9498536664045485",".97606867241153961","10",".058901647158487003",".77711766376707647","GDSC2"
"Cyclophosphamide","1512","OVCAR-5","905969","OV","urogenital_system","ovary","6.9956655295066881",".97120400039510191","10",".043153425261819853","1.95389041348825","GDSC2"
"Cyclophosphamide","1512","OVCAR-4","905990","OV","urogenital_system","ovary","6.0904819763983706",".98491223102046765","10",".032030840808756504",".93535603232907971","GDSC2"
"Cyclophosphamide","1512","OVCAR-8","905991","OV","urogenital_system","ovary","5.0148732912585219",".98852208875509862","10",".050583105113638033","-.27494482071486409","GDSC2"
"Cyclophosphamide","1512","Caov-3","906825","OV","urogenital_system","ovary","4.9613852196050452",".96981793040701836","10",".08568582772859544","-.33513088990922124","GDSC2"
"Cyclophosphamide","1512","OC-314","909257","OV","urogenital_system","ovary","5.1504067989012539",".98797195146277017","10",".070740844191336916","-.12243924672472038","GDSC2"
"Cyclophosphamide","1512","SW626","909753","OV","urogenital_system","ovary","6.6742442138206224",".97007857681404941","10",".049180328573710207","1.592219391362975","GDSC2"
"Cyclophosphamide","1512","OAW-42","910548","OV","urogenital_system","ovary","4.9501985916955213",".96355957163109485","10",".06173828337815726","-.34771835362965553","GDSC2"
"Cyclophosphamide","1512","EFO-21","911905","OV","urogenital_system","ovary","6.8820050083093074",".95324581675262077","10",".031346833317062547","1.8259968517653606","GDSC2"
"Cyclophosphamide","1512","OAW-28","946360","OV","urogenital_system","ovary","5.836998607493209",".98490854238335335","10",".023241198699184815",".6501304276488038","GDSC2"
"Cyclophosphamide","1512","Caov-4","949090","OV","urogenital_system","ovary","5.9689314354589227",".97678518230199174","10",".032030501028648441",".79858442996158918","GDSC2"
"Cyclophosphamide","1512","FU-OV-1","1240129","OV","urogenital_system","ovary","5.732855450408314",".96577113473461063","10",".023408974236593674",".53294603373313942","GDSC2"
"Cyclophosphamide","1512","OV-90","1240197","OV","urogenital_system","ovary","6.3204606921428166",".96763587957280806","10",".061359088950773417","1.1941336339726216","GDSC2"
"Cyclophosphamide","1512","OVISE","1240198","OV","urogenital_system","ovary","5.6060997658588905",".97564071239601702","10",".057532914844749712",".39031747814613255","GDSC2"
"Cyclophosphamide","1512","OVKATE","1240199","OV","urogenital_system","ovary","8.3854027819987262",".97536199177004457","10",".037854855247017594","3.5176563122169031","GDSC2"
"Cyclophosphamide","1512","OVMIU","1240200","OV","urogenital_system","ovary","6.3033935290946923",".96492746668948648","10",".027625453817959229","1.1749292501836424","GDSC2"
"Cyclophosphamide","1512","TOV-21G","1240222","OV","urogenital_system","ovary","4.6167713004395257",".95025226331424406","10",".080650310770125161","-.7228987892383496","GDSC2"
"Cyclophosphamide","1512","OVTOKO","1298365","OV","urogenital_system","ovary","5.6792588307331728",".9697476085043949","10",".070009540388457941",".47263782368492741","GDSC2"
"Cyclophosphamide","1512","TOV-112D","1299070","OV","urogenital_system","ovary","5.2782239306423033",".98833555951975605","10",".032826442332868688",".021383674861031654","GDSC2"
"Cyclophosphamide","1512","DOV13","1479987","OV","urogenital_system","ovary","4.3377164494481422",".97362919575399509","10",".081246796879371475","-1.0368980427466175","GDSC2"
